Time,Lon,Lat,Mag,Depth,Description
2011-05-13T23:35:52.930000Z,141.4566,37.4007,6.1,38600.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-05-15T13:08:15.420000Z,-25.6088,0.4584,6.1,18900.0,CENTRAL MID-ATLANTIC RIDGE
2011-05-15T18:37:10.890000Z,154.4323,-6.066,6.5,46900.0,SOLOMON ISLANDS
2011-06-01T12:55:21.010000Z,-73.8322,-37.5547,6.3,10000.0,NEAR COAST OF CENTRAL CHILE
2011-06-03T00:05:01.720000Z,143.9657,37.3045,6.1,19600.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-06-05T11:51:13.630000Z,147.235,-55.8442,6.4,14400.0,WEST OF MACQUARIE ISLAND
2011-06-13T02:20:50.320000Z,172.7842,-43.5042,6.0,8700.0,"SOUTH ISLAND, NEW ZEALAND"
2011-06-13T14:31:23.400000Z,126.4555,2.5446,6.4,66000.0,NORTHERN MOLUCCA SEA
2011-06-16T00:03:37.600000Z,151.2013,-5.8845,6.3,26900.0,"NEW BRITAIN REGION, P.N.G."
2011-06-20T16:36:00.870000Z,-68.3834,-21.771,6.5,126200.0,CHILE-BOLIVIA BORDER REGION
2011-06-21T02:04:16.940000Z,165.4962,-11.4834,6.0,18700.0,SANTA CRUZ ISLANDS
2011-06-22T21:50:51.590000Z,142.4621,39.9763,6.7,32100.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-06-24T03:09:38.920000Z,-171.8201,51.9805,7.3,49800.0,"FOX ISLANDS, ALEUTIAN ISLANDS"
2011-06-24T06:33:05.010000Z,165.9752,-10.9263,6.1,49800.0,SANTA CRUZ ISLANDS
2011-06-26T12:16:39.550000Z,136.6608,-2.3891,6.4,25300.0,"IRIAN JAYA REGION, INDONESIA"
2011-07-06T19:03:20.470000Z,-176.2572,-29.3073,7.6,25400.0,KERMADEC ISLANDS REGION
2011-07-09T15:02:29.100000Z,-176.9594,-29.2797,6.0,23800.0,KERMADEC ISLANDS REGION
2011-07-10T00:57:10.910000Z,143.3016,38.0553,7.0,24700.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-07-11T20:47:04.890000Z,122.2457,9.5277,6.5,21600.0,"NEGROS, PHILIPPINES"
2011-07-15T13:26:02.850000Z,-23.6628,-60.9862,6.1,8600.0,SOUTH SANDWICH ISLANDS REGION
2011-07-16T00:26:12.360000Z,-72.1007,-33.8756,6.0,20500.0,OFF COAST OF CENTRAL CHILE
2011-07-16T19:59:12.930000Z,-161.3162,54.7716,6.2,40900.0,ALASKA PENINSULA
2011-07-20T22:05:00.620000Z,162.1389,-10.3075,6.0,30800.0,SOLOMON ISLANDS
2011-07-23T04:34:24.500000Z,141.9221,38.914,6.3,45900.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-07-24T18:51:24.910000Z,141.5594,37.7399,6.3,41100.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-07-25T00:50:50.560000Z,150.7538,-3.1908,6.3,29700.0,"NEW IRELAND REGION, P.N.G."
2011-07-26T17:44:21.510000Z,-109.5366,25.09,6.0,17000.0,GULF OF CALIFORNIA
2011-07-29T07:42:22.560000Z,179.8252,-23.7284,6.7,522800.0,SOUTH OF FIJI ISLANDS
2011-07-30T18:53:51.870000Z,141.0774,36.9645,6.4,48100.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-07-31T14:34:49.280000Z,171.6788,-17.0859,6.1,22800.0,VANUATU ISLANDS REGION
2011-07-31T23:38:58.090000Z,144.9654,-3.5147,6.6,19600.0,"NEAR N COAST OF NEW GUINEA, PNG."
2011-08-01T14:58:10.610000Z,138.522,34.671,6.0,23100.0,"NEAR S. COAST OF HONSHU, JAPAN"
2011-08-04T13:51:36.140000Z,154.8391,48.767,6.1,49800.0,KURIL ISLANDS
2011-08-10T23:45:43.080000Z,-12.8059,-7.1029,6.0,11700.0,ASCENSION ISLAND REGION
2011-08-16T11:03:57.630000Z,128.0362,-2.3027,6.0,38700.0,CERAM SEA
2011-08-17T11:44:10.600000Z,143.7765,36.788,6.2,23100.0,"OFF EAST COAST OF HONSHU, JAPAN"
2011-08-19T03:54:26.500000Z,-176.8522,-16.5461,6.2,405900.0,FIJI ISLANDS REGION
2011-08-19T05:36:32.900000Z,141.6933,37.6698,6.3,48600.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-08-20T16:55:04.090000Z,168.067,-18.2774,7.1,34600.0,VANUATU ISLANDS
2011-08-20T17:13:06.480000Z,168.0913,-18.3179,6.5,31500.0,VANUATU ISLANDS
2011-08-20T18:19:24.610000Z,168.2258,-18.3312,7.0,31500.0,VANUATU ISLANDS
2011-08-22T20:12:21.270000Z,104.0049,-6.3564,6.1,33400.0,"SUNDA STRAIT, INDONESIA"
