Time,Lon,Lat,Dep,Mag
20140510_073600,-100.9323,17.0579,23.3,6.1
20150123_034727,168.5545,-17.064,223.9,6.8
20130416_225527,142.5671,-3.2237,16.3,6.6
20150916_225432,-71.6744,-31.5729,22.44,8.3
20160518_164643,-79.616,0.4947,29.95,6.9
20181205_041436,169.3156,-21.9814,10.0,6.0
20200901_040928,-71.3031,-27.9728,23.0,6.8
20201130_225503,-67.0203,-24.3318,189.0,6.3
20151104_034415,124.8754,-8.3381,20.0,6.5
20110423_041655,161.2473,-10.3584,85.6,6.8
20110430_081916,-82.3594,6.8511,10.0,6.2
20140504_091552,179.0407,-24.7338,522.8,6.6
20140823_223223,-71.4416,-32.6953,32.0,6.4
20150422_225716,166.4836,-12.0844,84.3,6.2
20150520_003052,-175.4708,-19.3863,198.6,6.0
20150520_224854,164.1741,-10.9253,18.5,6.8
20140806_114522,128.0364,-7.2741,10.0,6.2
20150924_155327,131.2622,-0.6212,18.0,6.6
20160419_052539,-27.2307,-55.7283,14.0,6.2
20160520_181404,129.8841,-25.5655,10.0,6.0
20170221_140904,-63.9047,-19.2814,595.98,6.5
20170224_172844,-178.8033,-23.2601,414.89,6.9
20170418_171147,-178.3718,-18.0851,628.0,6.0
20190626_052350,-82.7677,8.449,26.22,6.2
20191120_042705,-93.2133,13.8855,14.16,6.3
20200416_080437,-85.7099,16.9332,10.0,6.0
20200531_050938,-70.7643,-15.3164,186.0,6.1
20181001_235942,120.2417,-10.5574,29.0,6.0
20140415_035701,8.7098,-53.609,10.0,6.8
20190506_211937,146.4505,-6.973,146.0,7.1
20120905_130910,166.5032,-12.5373,27.0,6.0
20130821_123829,-99.5188,16.8572,18.9,6.2
20101225_131638,167.9375,-19.8371,15.7,7.3
20160831_031136,152.7879,-3.6914,499.06,6.7
20161017_061458,148.8617,-6.0526,35.0,6.9
20190503_072529,160.1389,-6.928,10.0,6.2
20200120_065137,-26.2889,-59.2287,93.0,6.1
20201001_103448,148.6576,-6.0867,109.22,6.0
20201006_101146,-178.4762,-18.0101,633.92,6.0
20140305_095658,169.8319,-14.835,648.0,6.4
20140619_101758,166.8302,-13.6006,59.6,6.2
20150507_071023,154.5554,-7.3019,30.4,7.0
20130310_225151,148.2433,-6.6966,28.9,6.5
20130930_055554,-178.2538,-30.8752,37.8,6.4
20140803_002201,146.1113,0.8323,0.0,6.8
20160208_161913,154.7073,-6.6214,31.62,6.4
20110225_130726,-95.1708,17.8214,130.6,6.0
20120305_074609,-63.2916,-28.2579,551.9,6.1
20130207_185916,165.7077,-11.0207,13.7,6.7
20130222_120158,-63.1349,-27.9052,585.6,6.1
20101123_090107,148.978,-6.0155,73.0,6.1
20110309_212452,149.7939,-6.1161,51.0,6.3
20111117_015704,-81.7057,-1.7479,19.6,6.0
20111114_040512,126.8799,-0.953,24.4,6.4
20110915_193103,-179.324,-21.593,629.0,7.3
20150919_125220,-72.0629,-32.3335,18.0,6.2
20160420_083510,-80.0352,0.7079,10.0,6.0
20160720_151316,169.0547,-18.9285,167.0,6.1
20110731_233858,144.9654,-3.5147,19.6,6.6
20121129_111025,145.7396,-3.592,25.0,6.0
20130130_230347,166.4759,-10.6598,36.0,6.1
