deg. mm/yr mm/yr mm/yr mm/yr mm/yr mm/yr
47.863 40.975 0.70 4.19 0.66 0.64 -0.004
47.930 36.232 -1.80 13.01 1.25 1.12 0.011
48.148 40.333 4.40 10.11 0.99 0.85 0.009
48.388 38.952 5.30 13.03 0.93 0.85 0.002
48.409 30.246 -0.49 18.22 1.23 1.09 0.003
48.419 38.706 5.07 12.24 0.91 0.80 0.003
48.529 41.595 0.78 1.41 0.96 0.86 0.004
48.551 40.614 2.75 1.86 0.88 0.79 -0.003
48.717 39.497 6.42 12.69 0.66 0.64 0.000
48.773 15.947 11.62 19.84 1.18 1.11 -0.005
49.038 14.486 11.28 23.66 1.27 1.19 -0.011
49.120 41.066 1.04 2.14 0.88 0.79 0.003
49.426 40.025 4.08 2.03 0.68 0.65 0.005
50.608 26.209 4.33 21.93 0.47 0.47 -0.001
50.748 32.367 -0.26 13.41 1.21 1.08 -0.001
51.082 28.919 1.24 21.61 0.81 0.75 0.001
51.334 35.697 0.22 12.66 0.70 0.69 0.000
51.812 35.730 -0.37 9.87 0.71 0.68 -0.001
51.885 35.223 1.52 9.60 1.27 1.25 0.016
51.986 35.793 -0.15 9.63 1.33 1.30 0.018
52.043 35.492 0.49 9.13 1.25 1.22 0.015
52.059 35.701 -0.88 8.57 1.25 1.24 0.014
52.157 35.868 0.23 7.46 1.32 1.30 0.021
52.285 36.588 -1.93 6.21 1.13 1.10 0.007
52.305 36.206 -2.56 9.29 1.40 1.29 0.021
52.586 35.701 -1.46 9.00 1.23 1.20 0.013
53.564 35.662 -0.01 9.17 1.32 1.13 0.014
53.822 32.313 -1.19 13.64 0.78 0.74 0.001
54.004 26.883 2.91 22.54 1.63 1.17 0.012
54.199 36.860 -0.97 5.40 1.36 1.13 0.016
54.608 30.079 1.81 16.08 1.29 1.10 0.007
55.479 -4.674 5.08 3.67 0.62 0.61 0.000
55.572 -21.208 2.03 3.68 1.19 1.18 0.000
55.918 28.302 -0.10 17.93 1.37 1.04 -0.025
56.070 33.369 1.87 11.23 1.26 1.09 0.006
56.112 22.186 10.56 26.99 1.19 1.18 -0.002
56.233 26.208 3.88 24.83 1.54 1.15 0.014
57.119 30.277 1.25 16.31 2.28 1.36 0.034
57.308 37.814 2.28 2.58 1.38 1.11 0.020
57.767 25.636 2.76 14.14 1.20 1.06 0.000
58.464 35.293 0.74 6.28 0.81 0.75 -0.001
58.560 56.430 0.53 0.12 0.62 0.62 -0.001
58.569 23.564 6.60 26.64 1.24 1.07 0.001
59.480 36.335 -0.07 -1.48 1.76 1.53 0.008
60.694 25.300 -0.15 7.92 1.42 1.12 0.003
61.034 36.601 3.54 -0.01 1.29 1.11 0.010
61.517 31.049 1.20 0.15 1.20 1.06 0.004
66.885 39.135 0.20 1.59 0.44 0.43 -0.003
74.694 42.680 0.52 3.06 0.49 0.49 -0.001
77.017 43.179 1.00 2.45 0.54 0.53 0.001
83.235 54.841 0.02 -1.19 0.78 0.76 -0.005
88.360 69.362 -0.55 -1.12 0.70 0.70 -0.001
92.794 55.993 -0.63 -1.28 0.56 0.56 0.001
104.316 52.219 -1.14 -1.12 0.47 0.46 -0.005
128.866 71.634 0.26 -0.35 0.58 0.58 0.000
129.681 62.031 1.10 1.12 0.51 0.50 -0.001
342.535 14.685 -5.55 4.17 1.37 1.24 0.000
344.367 27.764 -3.75 1.16 0.43 0.43 0.002
350.581 38.693 -0.44 1.30 0.90 0.85 -0.004
350.898 30.053 -5.13 3.43 1.45 1.01 -0.021
351.381 33.162 -1.14 3.52 1.55 1.03 -0.028
351.601 43.364 6.36 4.81 1.36 1.13 -0.005
351.982 31.665 -4.66 1.91 2.36 1.51 0.002
353.109 32.834 -4.43 4.30 1.35 1.00 -0.003
353.145 33.998 -3.94 0.79 0.63 0.62 0.003
353.133 33.976 -3.94 0.79 0.63 0.62 0.003
353.384 31.934 -3.11 3.82 1.26 1.00 -0.018
353.794 36.464 -3.85 1.02 0.45 0.44 0.001
354.102 30.415 -5.29 2.63 1.45 0.99 -0.019
354.760 6.871 -1.45 1.66 0.66 0.65 0.001
354.892 33.540 -3.87 0.55 0.82 0.81 0.002
355.366 32.769 -2.90 3.59 1.35 1.00 -0.014
355.465 32.255 -3.96 1.97 1.50 1.02 0.002
355.813 31.549 -5.13 4.07 1.55 1.04 -0.009
356.048 40.444 -0.01 0.28 0.44 0.44 0.001
359.519 38.339 0.08 1.19 0.90 0.85 -0.008
