index,Station,Event,Ev_lat,Ev_lon,Depth,Mag,Baz,Phase,SCPhi,SCPhi_std,SCdt,SCdt_std,RCPhi,RCPhi_std,RCdt,RCdt_std,Null,Quality,CpH
84,AM.ARZA,20200603_073534,-23.2955,-68.4217,96.84,6.8,265.63,SKS,10.63,44.75,3.3,0.98,62.63,44.75,0.7,0.98,FALSE,Poor,0.68
85,AM.ARZA,20200901_040928,-27.9728,-71.3031,23,6.8,262.58,SKS,-82.42,44.75,2.7,0.98,-48.42,44.75,1,0.98,FALSE,Poor,0.45
86,AM.ARZA,20201130_225503,-24.3318,-67.0203,189,6.3,263.77,SKS,7.77,44.75,2.3,0.98,46.77,44.75,0.8,0.98,TRUE,Good,0.9
87,AM.ARZA,20151104_034415,-8.3381,124.8754,20,6.5,102.47,SKS,-85.53,44.75,3.1,0.98,44.47,44.75,0.4,0.98,TRUE,Fair,0.85
88,AM.ARZA,20151204_222500,-47.6165,85.0913,35,7.1,153.82,SKS,-32.18,44.75,3.6,0.98,-81.18,44.75,0.2,0.98,TRUE,Good,0.93
89,AM.ARZA,20171024_104747,-7.2364,123.0401,549.19,6.7,102.86,SKS,-86.14,28.5,3.9,0.85,41.86,44.75,0.2,0.98,TRUE,Fair,0.89
90,AM.ARZA,20180325_201447,-6.6247,129.8138,169,6.4,97.97,SKS,88.97,44.75,3.9,0.98,35.97,44.75,0.2,0.98,TRUE,Good,0.94
91,AM.ARZA,20180821_213147,10.7791,-62.907,146.18,7.3,289.74,SKS,-85.26,44.75,1.5,0.98,53.74,44.75,0.6,0.98,TRUE,Fair,0.81
92,AM.ARZA,20200821_040952,-6.6869,123.4829,627.76,6.9,102.15,SKS,29.15,5,3.9,0.53,81.15,44.75,0.7,0.98,TRUE,Fair,0.8
93,AM.BAUR,20180410_101934,-30.9862,-71.5566,76.08,6.2,259.49,SKKS,26.49,17.75,1.6,0.7,43.49,44.75,1.5,0.98,FALSE,Fair,0.47
94,AM.BAUR,20161124_184348,11.9597,-88.8355,10.34,7,309.56,SKS,35.56,44.75,3.9,0.98,-13.44,44.75,0,0.98,TRUE,Fair,0.88
95,AM.BAUR,20180216_233939,16.3887,-97.9789,25.98,7.2,320.15,SKS,65.15,44.75,1.9,0.98,-84.85,44.75,0.8,0.98,TRUE,Good,0.94
96,AM.BAUR,20180819_001940,-18.1125,-178.1536,600,8.2,69.79,SKS,-26.21,22.75,3.9,0.75,-73.21,44.75,0.2,0.98,TRUE,Good,0.95
97,AM.BAUR,20180906_154914,-18.4952,179.3555,617.87,7.9,72.49,SKS,66.49,44.75,3.9,0.98,15.49,44.75,0.1,0.98,TRUE,Good,0.93
98,AM.BAUR,20181211_022632,-58.5981,-26.4656,164.66,7.1,212.99,SKS,-83.01,44.75,1.4,0.98,78.99,44.75,1.1,0.98,FALSE,Fair,0.59
99,AM.BAUR,20200717_025022,-7.8386,147.7754,73,7,86.58,SKS,76.58,44.75,3.9,0.98,24.58,44.75,0.3,0.98,TRUE,Fair,0.8
100,AM.BAUR,20140316_211628,-19.9051,-70.6156,9.4,6.7,270.14,SKS,76.14,44.75,2.7,0.98,29.14,44.75,0.9,0.98,TRUE,Fair,0.82
101,AM.BAUR,20140708_125625,-17.6864,168.3982,110.2,6.2,80.59,SKS,-3.41,44.75,3.7,0.98,35.59,44.75,0.5,0.98,FALSE,Poor,0.75
102,AM.BAUR,20150916_140322,-6.0114,151.4768,6,6.1,82.63,SKS,76.63,44.75,3.8,0.98,25.63,44.75,0.2,0.98,TRUE,Good,0.94
103,AM.BAUR,20131201_012415,-7.0288,128.4151,25.9,6.5,98.66,SKS,83.66,44.75,2.6,0.98,29.66,44.75,0.5,0.98,FALSE,Poor,0.47
104,AM.BAUR,20140113_040104,18.9922,-66.8685,30.9,6.3,297.8,SKS,-69.2,19.25,2.6,0.92,67.8,44.75,0.4,0.98,FALSE,Poor,0.77
105,AM.BAUR,20140218_092714,14.596,-58.9719,28.3,6.5,289.41,SKS,66.41,19.75,0.9,0.6,70.41,44.75,1,0.98,FALSE,Fair,0.6
106,AM.BAUR,20130715_140341,-61.0527,-25.2274,19.9,7.3,210.41,SKS,14.41,44.75,3.9,0.98,-43.59,44.75,0.1,0.98,TRUE,Fair,0.85
107,AM.BAUR,20131117_090456,-60.3783,-46.5876,7.9,7.8,217.23,SKS,48.23,44.75,1.1,0.98,83.23,44.75,0.4,0.98,TRUE,Fair,0.88
108,AM.BAUR,20151217_194953,15.8009,-93.6294,85,6.6,315.99,SKS,39.99,44.75,3.9,0.98,-8.01,44.75,0,0.98,TRUE,Good,0.96
109,AM.BAUR,20160725_193845,-2.969,148.0345,14,6.4,82.63,SKS,76.63,44.75,2.8,0.98,26.63,44.75,0.3,0.98,TRUE,Good,0.93
110,AM.BAUR,20170614_072905,14.9823,-91.9882,94,6.9,314.1,SKS,40.1,1.25,3.9,0.5,-6.9,44.75,0.2,0.98,TRUE,Good,0.96
111,AM.BAUR,20180308_173951,-4.3853,153.1874,22.53,6.8,80.18,SKS,72.18,44.75,3.2,0.98,24.18,44.75,0.4,0.98,TRUE,Good,0.92
112,AM.BAUR,20180509_075755,-5.8916,151.7962,10,6,82.32,SKS,76.32,1,3.3,0.4,28.32,44.75,0.2,0.98,TRUE,Fair,0.88
113,AM.BAUR,20190201_161413,14.7628,-92.2981,67.93,6.6,314.24,SKS,41.24,44.75,3.9,0.98,-6.76,44.75,0,0.98,TRUE,Good,0.9
114,AM.BAUR,20190409_175359,-58.6064,-25.2559,44.83,6.5,212.54,SKS,-51.46,44.75,3.9,0.98,89.54,44.75,0.1,0.98,TRUE,Good,0.92
