   28.0000    48.0000 146.95  18.93 0.72 0.02        112
   28.0000    49.0000 142.63  12.66 0.70 0.02         79
   28.0000    50.0000 157.25   3.56 0.66 0.07          4
   29.0000    34.0000  11.02   8.74 1.58 0.05         75
   29.0000    35.0000  13.76   8.31 1.54 0.02        340
   29.0000    36.0000  14.08   8.48 1.51 0.02        332
   29.0000    37.0000  13.54  10.05 1.32 0.05         53
   29.0000    38.0000 170.54  12.23 1.22 0.05         44
   29.0000    39.0000 169.34   7.93 1.22 0.04         27
   29.0000    41.0000 169.50   0.50 1.33 0.03          2
   29.0000    42.0000 135.50   5.52 0.77 0.12          2
   29.0000    43.0000 146.00  16.45 0.90 0.00          2
   29.0000    44.0000  49.81  31.53 0.92 0.11         12
   29.0000    45.0000  37.67  28.89 1.08 0.10         23
   29.0000    46.0000  48.71  29.11 1.15 0.14         15
   29.0000    47.0000 104.03  43.05 1.31 0.23          8
   29.0000    48.0000 139.32  11.94 0.68 0.03         71
   29.0000    49.0000 140.53  10.93 0.76 0.03         62
   30.0000    34.0000  19.64   8.82 1.80 0.14         14
   30.0000    35.0000  14.45   7.99 1.62 0.03        120
   30.0000    36.0000  13.26   6.82 1.67 0.03        109
   30.0000    37.0000 159.33  14.50 1.34 0.17          7
   30.0000    38.0000 165.46  11.53 1.27 0.07         25
   30.0000    39.0000 162.74  10.88 1.24 0.07         21
   30.0000    40.0000 158.00   2.00 1.33 0.18          2
   30.0000    41.0000 173.67  14.42 0.89 0.10          8
   30.0000    42.0000 163.64  20.33 0.80 0.06         13
   30.0000    43.0000 157.41  24.24 0.78 0.11          5
   30.0000    45.0000  63.57   4.24 0.71 0.06          7
   30.0000    46.0000  29.50   2.50 1.23 0.02          2
   30.0000    47.0000  32.00   0.00 1.25 0.00          1
   30.0000    48.0000 137.50   4.51 0.75 0.10          2
   31.0000    34.0000 168.17   5.79 0.95 0.04         11
   31.0000    35.0000 175.08  13.60 1.08 0.06         30
   31.0000    36.0000 176.65  21.51 1.08 0.07         23
   31.0000    37.0000   7.31  20.28 1.47 0.09         13
   31.0000    38.0000 176.45  12.10 1.36 0.11         19
   31.0000    39.0000 169.41  10.70 1.17 0.09         23
   31.0000    40.0000 170.35  15.34 1.03 0.11         15
   31.0000    41.0000 168.54  16.10 0.86 0.06         13
   31.0000    42.0000 168.49  19.07 0.82 0.07         13
   31.0000    43.0000 162.50  24.04 0.67 0.11          4
   32.0000    34.0000 177.13  11.96 1.04 0.07          8
   32.0000    35.0000 175.14  12.66 1.10 0.05         34
   32.0000    36.0000 179.02  18.10 1.15 0.06         33
   32.0000    37.0000   8.41  19.36 1.44 0.10         14
   32.0000    38.0000   0.28   9.07 1.38 0.07         28
   32.0000    39.0000 176.85  13.87 1.22 0.09         27
   32.0000    40.0000 170.76  17.23 1.00 0.07         15
   32.0000    41.0000 166.54  22.42 0.80 0.10          3
   32.0000    42.0000 135.00   0.00 0.90 0.00          1
   33.0000    34.0000   2.00   1.58 1.30 0.17          4
   33.0000    35.0000   2.03   8.22 1.26 0.08         15
   33.0000    36.0000   0.80   6.91 1.25 0.08         14
   33.0000    37.0000   8.00   0.00 1.80 0.00          1
   33.0000    38.0000 178.00   3.00 1.05 0.20          2
   33.0000    39.0000   1.00   0.00 1.25 0.00          1
   34.0000    35.0000   1.97   5.56 1.25 0.09         13
   34.0000    36.0000   1.96   6.61 1.23 0.11          9
